Date,Open,High,Low,Close
08/23/2022,"7,533.79","7,533.79","7,467.56","7,488.11"
08/22/2022,"7,550.37","7,550.41","7,491.26","7,533.79"
08/19/2022,"7,541.85","7,578.85","7,513.26","7,550.37"
08/18/2022,"7,515.75","7,541.89","7,493.66","7,541.85"
08/17/2022,"7,536.06","7,554.04","7,501.54","7,515.75"
08/16/2022,"7,509.15","7,563.67","7,509.15","7,536.06"
08/15/2022,"7,500.89","7,539.21","7,463.51","7,509.15"
08/12/2022,"7,465.91","7,516.83","7,464.12","7,500.89"
08/11/2022,"7,507.11","7,515.00","7,460.11","7,465.91"
08/10/2022,"7,488.15","7,520.72","7,468.64","7,507.11"
08/09/2022,"7,482.37","7,504.64","7,475.04","7,488.15"
08/08/2022,"7,439.74","7,513.76","7,439.74","7,482.37"
08/05/2022,"7,448.06","7,470.63","7,420.16","7,439.74"
08/04/2022,"7,445.68","7,491.74","7,417.49","7,448.06"
08/03/2022,"7,409.11","7,445.90","7,372.71","7,445.68"
08/02/2022,"7,413.42","7,433.34","7,386.76","7,409.11"
08/01/2022,"7,450.24","7,471.87","7,408.94","7,413.42"
07/29/2022,"7,345.25","7,441.20","7,345.25","7,423.43"
07/28/2022,"7,348.23","7,396.20","7,308.99","7,345.25"
07/27/2022,"7,306.28","7,365.22","7,306.28","7,348.23"
07/26/2022,"7,306.30","7,365.37","7,301.19","7,306.28"
07/25/2022,"7,276.37","7,309.65","7,242.90","7,306.30"
07/22/2022,"7,270.51","7,315.34","7,254.02","7,276.37"
07/21/2022,"7,264.31","7,274.73","7,200.14","7,270.51"
07/20/2022,"7,296.28","7,347.60","7,253.56","7,264.31"
07/19/2022,"7,223.24","7,308.99","7,174.40","7,296.28"
07/18/2022,"7,159.01","7,268.88","7,159.01","7,223.24"
07/15/2022,"7,039.81","7,167.85","7,038.15","7,159.01"
07/14/2022,"7,156.37","7,157.62","7,007.09","7,039.81"
07/13/2022,"7,209.86","7,209.86","7,104.06","7,156.37"
07/12/2022,"7,196.59","7,216.90","7,143.31","7,209.86"
07/11/2022,"7,196.24","7,204.06","7,097.42","7,196.59"
07/08/2022,"7,189.08","7,210.58","7,129.15","7,196.24"
07/07/2022,"7,107.77","7,213.05","7,107.77","7,189.08"
07/06/2022,"7,025.47","7,198.72","7,025.35","7,107.77"
07/05/2022,"7,232.65","7,260.30","7,016.78","7,025.47"
07/04/2022,"7,168.65","7,258.46","7,168.65","7,232.65"
07/01/2022,"7,169.28","7,214.82","7,101.38","7,168.65"
06/30/2022,"7,312.32","7,312.32","7,110.70","7,169.28"
06/29/2022,"7,323.41","7,345.45","7,263.54","7,312.32"
06/28/2022,"7,258.32","7,362.37","7,258.32","7,323.41"
06/27/2022,"7,208.81","7,284.48","7,208.52","7,258.32"
06/24/2022,"7,020.45","7,211.07","7,016.02","7,208.81"
06/23/2022,"7,089.22","7,115.80","7,014.19","7,020.45"
06/22/2022,"7,152.05","7,152.05","7,030.03","7,089.22"
06/21/2022,"7,121.81","7,193.90","7,119.25","7,152.05"
06/20/2022,"7,016.25","7,129.64","7,016.15","7,121.81"
06/17/2022,"7,044.98","7,130.62","6,998.17","7,016.25"
06/16/2022,"7,273.41","7,273.41","7,039.47","7,044.98"
06/15/2022,"7,187.46","7,313.70","7,186.50","7,273.41"
06/14/2022,"7,205.81","7,271.85","7,135.15","7,187.46"
06/13/2022,"7,317.52","7,317.52","7,174.02","7,205.81"
06/10/2022,"7,476.21","7,476.21","7,294.20","7,317.52"
06/09/2022,"7,593.00","7,593.00","7,472.29","7,476.21"
06/08/2022,"7,598.93","7,616.22","7,550.65","7,593.00"
06/07/2022,"7,608.22","7,617.53","7,570.67","7,598.93"
06/06/2022,"7,532.95","7,646.66","7,532.84","7,608.22"
06/01/2022,"7,607.66","7,639.21","7,529.23","7,532.95"
05/31/2022,"7,600.06","7,648.26","7,591.84","7,607.66"
05/30/2022,"7,585.46","7,625.63","7,576.37","7,600.06"
05/27/2022,"7,564.92","7,597.64","7,542.78","7,585.46"
05/26/2022,"7,522.75","7,575.53","7,512.45","7,564.92"
05/25/2022,"7,484.35","7,546.41","7,484.35","7,522.75"
05/24/2022,"7,513.44","7,529.65","7,434.46","7,484.35"
05/23/2022,"7,389.98","7,513.44","7,389.98","7,513.44"
05/20/2022,"7,302.74","7,453.49","7,302.74","7,389.98"
05/19/2022,"7,438.09","7,438.09","7,228.67","7,302.74"
05/18/2022,"7,518.35","7,526.14","7,438.09","7,438.09"
05/17/2022,"7,464.80","7,538.68","7,464.80","7,518.35"
05/16/2022,"7,418.15","7,464.80","7,361.72","7,464.80"
05/13/2022,"7,233.34","7,421.95","7,233.34","7,418.15"
05/12/2022,"7,347.66","7,347.66","7,158.53","7,233.34"
05/11/2022,"7,243.22","7,349.70","7,238.97","7,347.66"
05/10/2022,"7,216.58","7,311.65","7,216.58","7,243.22"
05/09/2022,"7,387.94","7,391.59","7,216.58","7,216.58"
05/06/2022,"7,503.27","7,503.27","7,354.06","7,387.94"
05/05/2022,"7,493.45","7,619.39","7,493.45","7,503.27"
05/04/2022,"7,561.33","7,572.65","7,493.45","7,493.45"
05/03/2022,"7,544.55","7,561.33","7,475.69","7,561.33"
04/29/2022,"7,509.19","7,569.80","7,509.19","7,544.55"
04/28/2022,"7,425.61","7,519.70","7,425.61","7,509.19"
04/27/2022,"7,386.19","7,458.24","7,344.89","7,425.61"
04/26/2022,"7,380.54","7,463.15","7,380.54","7,386.19"
04/25/2022,"7,521.68","7,521.68","7,339.53","7,380.54"
04/22/2022,"7,627.95","7,628.03","7,521.68","7,521.68"
04/21/2022,"7,629.22","7,656.47","7,596.29","7,627.95"
04/20/2022,"7,601.28","7,637.87","7,590.62","7,629.22"
04/19/2022,"7,616.38","7,624.90","7,565.81","7,601.28"
04/14/2022,"7,580.80","7,622.41","7,551.39","7,616.38"
04/13/2022,"7,576.66","7,597.85","7,550.94","7,580.80"
04/12/2022,"7,618.31","7,618.31","7,543.03","7,576.66"
04/11/2022,"7,669.56","7,669.56","7,611.68","7,618.31"
04/08/2022,"7,551.81","7,669.56","7,551.81","7,669.56"
04/07/2022,"7,587.70","7,601.52","7,537.25","7,551.81"
04/06/2022,"7,613.72","7,614.13","7,536.20","7,587.70"
04/05/2022,"7,558.92","7,613.72","7,536.21","7,613.72"
04/04/2022,"7,537.90","7,574.33","7,532.23","7,558.92"
04/01/2022,"7,515.68","7,552.46","7,508.92","7,537.90"
03/31/2022,"7,578.75","7,595.42","7,515.68","7,515.68"
03/30/2022,"7,537.25","7,578.75","7,523.82","7,578.75"
03/29/2022,"7,473.14","7,584.11","7,473.14","7,537.25"
03/28/2022,"7,483.35","7,539.30","7,471.47","7,473.14"
03/25/2022,"7,467.38","7,502.67","7,441.28","7,483.35"
03/24/2022,"7,460.63","7,492.00","7,453.25","7,467.38"
03/23/2022,"7,476.72","7,521.14","7,459.36","7,460.63"
03/22/2022,"7,442.39","7,490.46","7,442.39","7,476.72"
03/21/2022,"7,404.73","7,464.95","7,402.60","7,442.39"
03/18/2022,"7,385.34","7,406.13","7,318.90","7,404.73"
03/17/2022,"7,291.68","7,385.34","7,260.51","7,385.34"
03/16/2022,"7,175.70","7,312.23","7,175.70","7,291.68"
03/15/2022,"7,193.47","7,193.47","7,075.82","7,175.70"
03/14/2022,"7,155.64","7,222.87","7,143.95","7,193.47"
03/11/2022,"7,099.09","7,260.40","7,099.03","7,155.64"
03/10/2022,"7,190.72","7,192.75","7,065.96","7,099.09"
03/09/2022,"6,964.11","7,190.72","6,964.11","7,190.72"
03/08/2022,"6,959.48","7,013.51","6,893.55","6,964.11"
03/07/2022,"6,987.14","7,030.74","6,787.98","6,959.48"
03/04/2022,"7,238.85","7,238.85","6,980.86","6,987.14"
03/03/2022,"7,429.56","7,468.83","7,231.51","7,238.85"
03/02/2022,"7,330.20","7,462.22","7,320.77","7,429.56"
03/01/2022,"7,458.25","7,499.33","7,327.79","7,330.20"
02/28/2022,"7,489.46","7,489.46","7,361.59","7,458.25"
02/25/2022,"7,207.38","7,497.94","7,207.38","7,489.46"
02/24/2022,"7,498.18","7,498.18","7,204.74","7,207.38"
02/23/2022,"7,494.21","7,549.98","7,490.54","7,498.18"
02/22/2022,"7,484.33","7,531.32","7,365.04","7,494.21"
02/21/2022,"7,513.62","7,571.07","7,446.43","7,484.33"
02/18/2022,"7,537.37","7,570.56","7,508.73","7,513.62"
02/17/2022,"7,603.78","7,607.24","7,499.86","7,537.37"
02/16/2022,"7,608.92","7,630.72","7,560.94","7,603.78"
02/15/2022,"7,531.59","7,608.92","7,513.16","7,608.92"
02/14/2022,"7,661.02","7,661.02","7,483.36","7,531.59"
02/11/2022,"7,672.40","7,672.40","7,596.11","7,661.02"
02/10/2022,"7,643.42","7,687.27","7,622.74","7,672.40"
02/09/2022,"7,567.07","7,657.93","7,567.07","7,643.42"
02/08/2022,"7,573.47","7,631.31","7,548.19","7,567.07"
02/07/2022,"7,516.40","7,591.65","7,508.48","7,573.47"
02/04/2022,"7,528.84","7,599.73","7,497.21","7,516.40"
02/03/2022,"7,583.00","7,605.75","7,528.69","7,528.84"
02/02/2022,"7,535.78","7,605.64","7,535.78","7,583.00"
02/01/2022,"7,464.37","7,549.29","7,463.01","7,535.78"
01/31/2022,"7,466.07","7,523.95","7,450.89","7,464.37"
01/28/2022,"7,554.31","7,554.31","7,420.20","7,466.07"
01/27/2022,"7,469.78","7,596.70","7,388.80","7,554.31"
01/26/2022,"7,371.46","7,525.58","7,371.46","7,469.78"
01/25/2022,"7,297.15","7,382.60","7,297.15","7,371.46"
01/24/2022,"7,494.13","7,494.13","7,283.38","7,297.15"
01/21/2022,"7,585.01","7,585.01","7,450.49","7,494.13"
01/20/2022,"7,589.66","7,619.01","7,549.87","7,585.01"
01/19/2022,"7,563.55","7,614.93","7,525.15","7,589.66"
01/18/2022,"7,611.23","7,613.05","7,531.96","7,563.55"
01/17/2022,"7,542.95","7,616.06","7,542.95","7,611.23"
01/14/2022,"7,563.85","7,568.16","7,523.02","7,542.95"
01/13/2022,"7,551.72","7,566.46","7,530.12","7,563.85"
01/12/2022,"7,491.37","7,564.20","7,491.37","7,551.72"
01/11/2022,"7,445.25","7,497.12","7,445.25","7,491.37"
01/10/2022,"7,485.28","7,496.12","7,422.94","7,445.25"
01/07/2022,"7,450.37","7,485.28","7,431.86","7,485.28"
01/06/2022,"7,516.87","7,516.87","7,419.95","7,450.37"
01/05/2022,"7,505.15","7,529.97","7,484.28","7,516.87"
01/04/2022,"7,384.54","7,520.79","7,384.54","7,505.15"
